BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
127.7,297.6,2751.0,27.1,1032.0,248.3,85.5,97.3,44.0,10.436,1.6950000000000003,101.8
127.6,297.6,2748.0,21.9,1033.0,248.0,85.8,97.3,43.8,10.425,1.6500000000000004,101.6
127.4,297.6,2749.0,21.5,1033.0,248.1,85.5,97.3,43.7,10.44,1.6399999999999988,101.5
127.3,297.7,2750.0,19.4,1033.0,248.2,85.9,97.4,43.0,10.445,1.636000000000001,100.9
127.4,297.7,2751.0,18.4,1033.0,248.2,85.7,97.0,42.8,10.46,1.6300000000000008,100.7
127.5,297.7,2749.0,16.0,1034.0,248.2,85.8,96.9,43.0,10.452,1.6340000000000003,100.8
127.5,297.7,2750.0,15.8,1036.0,247.4,85.7,94.5,42.6,10.499,1.6400000000000006,99.9
127.6,297.7,2750.0,17.2,1037.0,247.0,85.8,94.0,42.9,10.502,1.6590000000000007,99.8
127.6,297.7,2750.0,26.1,1037.0,247.8,86.0,95.4,44.1,10.454,1.702,100.8
127.7,297.7,2751.0,34.8,1037.0,247.8,85.9,96.5,45.6,10.455,1.7940000000000005,102.2
127.7,297.7,2753.0,40.9,1029.0,249.7,85.7,101.3,46.8,10.347,1.8989999999999991,104.7
127.8,297.7,2751.0,42.5,1021.0,251.5,85.1,106.1,47.6,10.281,1.9250000000000007,107.0
127.9,297.6,2751.0,47.4,1014.0,253.3,87.7,112.3,50.4,9.933,2.186,109.7
127.9,297.6,2752.0,48.5,1006.0,255.2,87.3,116.9,51.8,9.864,2.351000000000001,111.7
128.0,297.5,2750.0,49.8,1005.0,255.3,89.4,118.7,52.9,9.686,2.3200000000000003,112.6
128.0,297.4,2750.0,47.4,1005.0,255.1,86.3,116.2,50.4,9.967,2.330000000000001,111.4
128.1,297.3,2750.0,43.3,1005.0,254.6,85.1,113.6,47.0,10.115,1.995000000000001,109.3
128.1,297.2,2749.0,39.0,1010.0,252.9,85.0,109.5,45.4,10.175,1.8070000000000004,106.9
128.2,297.2,2749.0,35.0,1015.0,251.0,85.6,105.4,45.2,10.232,1.7080000000000002,105.7
128.2,297.2,2750.0,31.0,1016.0,251.0,85.5,104.6,43.7,10.266,1.7230000000000008,104.3
128.1,297.2,2749.0,31.2,1021.0,250.0,85.4,103.0,44.2,10.318,1.725999999999999,103.6
128.0,297.3,2750.0,28.9,1021.0,250.8,85.6,103.7,44.0,10.328,1.645999999999999,103.6
128.0,297.4,2750.0,31.2,1024.0,250.1,85.7,102.4,44.5,10.348,1.713000000000001,103.7
127.9,297.5,2750.0,33.6,1026.0,249.9,85.6,101.8,45.1,10.355,1.7919999999999998,103.6
127.7,297.4,2750.0,32.2,1026.0,249.7,85.5,101.1,45.3,10.366,1.7349999999999994,104.0
127.6,297.4,2751.0,30.5,1026.0,249.1,85.9,100.1,44.3,10.349,1.6989999999999998,103.0
127.5,297.5,2750.0,28.8,1025.0,249.2,85.7,100.4,43.9,10.358,1.7040000000000006,102.6
127.5,297.5,2750.0,27.1,1025.0,249.4,85.4,100.5,44.0,10.376,1.6669999999999998,102.8
127.6,297.6,2750.0,26.4,1025.0,249.7,85.7,100.7,43.4,10.379,1.657,102.5
127.7,297.6,2750.0,24.7,1025.0,249.6,85.7,100.6,43.8,10.374,1.636000000000001,102.7
127.7,297.6,2751.0,24.9,1025.0,249.2,86.0,100.5,43.5,10.362,1.6590000000000007,102.0
127.8,297.7,2752.0,25.3,1025.0,249.3,85.8,100.9,43.5,10.383,1.6229999999999993,102.5
127.9,297.7,2751.0,29.2,1025.0,249.6,85.7,101.3,44.1,10.365,1.6229999999999993,102.8
127.9,297.7,2749.0,31.6,1025.0,249.8,85.9,101.6,44.3,10.363,1.6709999999999994,103.6
128.0,297.8,2753.0,33.7,1024.0,249.9,85.8,102.2,44.8,10.346,1.7040000000000006,103.5
128.1,297.8,2751.0,34.6,1024.0,250.1,85.6,102.0,45.3,10.356,1.779,104.1
128.1,297.8,2751.0,35.4,1024.0,249.6,85.7,102.0,46.1,10.334,1.8100000000000005,104.4
128.2,297.7,2750.0,40.1,1024.0,249.6,85.7,102.6,46.4,10.321,1.827,104.5
128.2,297.7,2750.0,43.5,1010.0,253.6,85.6,111.3,47.0,10.119,2.178,108.3
128.3,297.7,2750.0,39.5,1006.0,254.1,85.1,113.2,46.0,10.109,1.8030000000000008,108.5
128.3,297.6,2751.0,36.9,1013.0,252.0,85.6,108.1,45.5,10.194,1.8280000000000012,106.1
128.4,297.6,2749.0,35.9,1015.0,251.6,85.8,106.9,45.2,10.217,1.7759999999999998,105.2
128.4,297.6,2750.0,33.7,1015.0,251.8,85.5,106.7,44.5,10.245,1.7349999999999994,105.2
128.3,297.6,2751.0,30.9,1015.0,251.9,85.4,106.9,44.1,10.267,1.6579999999999995,104.9
128.3,297.6,2749.0,27.1,1018.0,251.2,85.7,105.2,44.0,10.28,1.6079999999999988,104.4
128.2,297.6,2750.0,27.8,1021.0,250.6,85.6,103.2,43.2,10.327,1.6549999999999994,103.3
128.1,297.6,2750.0,24.2,1021.0,250.1,85.8,103.1,43.1,10.311,1.616999999999999,102.9
128.0,297.5,2749.0,23.9,1024.0,249.5,85.6,101.2,43.1,10.353,1.6159999999999997,102.6
127.8,297.5,2751.0,21.5,1025.0,249.0,85.7,100.0,42.9,10.381,1.6270000000000007,101.8
127.7,297.5,2749.0,22.2,1025.0,249.2,85.7,100.2,42.9,10.368,1.6180000000000003,101.9
127.6,297.5,2749.0,21.9,1024.0,249.0,85.8,100.3,42.8,10.375,1.6289999999999996,101.9
127.6,297.5,2750.0,20.6,1024.0,249.2,85.7,100.0,42.6,10.381,1.6050000000000004,101.6
127.7,297.5,2749.0,20.5,1023.0,249.2,85.6,100.3,43.0,10.374,1.5980000000000008,101.9
127.7,297.5,2750.0,20.7,1023.0,249.0,85.7,100.0,42.5,10.385,1.6150000000000002,101.6
127.7,297.6,2750.0,22.4,1022.0,249.2,85.7,100.4,42.9,10.372,1.6150000000000002,101.8
127.8,297.6,2750.0,22.7,1021.0,249.0,85.7,100.4,43.1,10.369,1.6289999999999996,102.0
127.8,297.6,2750.0,26.4,1021.0,249.6,85.8,100.6,43.1,10.368,1.625,102.3
127.8,297.6,2751.0,33.4,1020.0,249.7,85.9,101.6,44.6,10.334,1.6799999999999997,103.4
127.9,297.6,2751.0,39.2,1020.0,250.2,85.8,102.6,46.2,10.329,1.774000000000001,104.7
128.0,297.7,2750.0,40.5,1019.0,250.2,85.6,103.2,47.2,10.325,1.8049999999999997,105.2
128.2,297.9,2751.0,41.1,1019.0,250.0,85.8,102.9,46.9,10.316,1.8490000000000002,105.4
128.1,298.0,2648.0,42.4,995.0,249.7,85.6,108.4,47.3,9.746,1.7710000000000008,105.2
129.2,298.2,2675.0,44.2,998.0,249.5,85.7,109.8,48.3,9.762,1.8770000000000007,106.6
130.2,298.8,2756.0,44.1,1011.0,254.2,85.4,113.0,48.2,10.286,2.1340000000000003,108.8
127.2,297.3,2761.0,40.7,1011.0,252.0,85.4,110.3,47.7,10.206,1.9819999999999993,108.4
127.3,297.3,2763.0,39.2,1011.0,252.6,85.2,110.1,47.0,10.255,1.846,107.8
127.6,297.3,2757.0,38.3,1011.0,252.2,85.8,109.8,46.1,10.234,1.7300000000000004,106.9
127.8,297.4,2757.0,37.9,1012.0,252.0,85.6,109.5,46.1,10.233,1.7690000000000001,106.8
128.0,297.4,2755.0,37.8,1011.0,252.1,85.3,109.0,46.5,10.249,1.8200000000000003,106.8
128.3,297.5,2752.0,36.9,1009.0,252.0,85.4,109.3,46.2,10.216,1.7759999999999998,106.6
128.5,297.5,2751.0,38.1,1009.0,252.0,85.6,109.1,46.4,10.222,1.83,106.9
128.7,297.6,2750.0,41.6,1008.0,252.5,85.5,110.5,47.8,10.182,1.9730000000000008,107.9
128.8,297.5,2754.0,42.7,1005.0,253.6,85.4,112.9,47.7,10.168,1.9529999999999994,108.9
128.6,297.5,2754.0,42.0,1005.0,253.7,85.5,113.4,47.8,10.175,1.952,108.8
128.4,297.4,2754.0,43.2,1007.0,253.5,85.7,112.3,47.6,10.177,2.017999999999999,108.3
128.2,297.3,2755.0,43.9,1007.0,253.2,85.5,112.4,47.7,10.184,2.145999999999999,108.6
128.0,297.3,2755.0,43.7,1007.0,253.0,85.0,111.8,47.5,10.195,2.189,108.6
127.8,297.2,2755.0,42.4,1007.0,252.8,85.4,111.1,47.4,10.173,2.0009999999999994,107.8
127.7,297.1,2754.0,41.6,1007.0,252.4,85.6,110.7,47.2,10.173,2.223,107.7
127.5,297.1,2754.0,41.3,1007.0,251.9,85.6,110.6,47.0,10.173,2.2359999999999998,108.0
128.0,297.1,2756.0,43.1,1007.0,252.1,85.9,110.7,47.4,10.124,2.2140000000000004,108.3
129.5,297.1,2805.0,44.0,1008.0,254.0,86.2,112.6,48.2,10.193,2.3519999999999994,109.4
126.8,297.2,2766.0,47.2,1005.0,252.4,87.1,112.3,49.4,10.054,2.383,109.1
126.3,297.2,2754.0,47.7,1000.0,253.6,86.1,113.6,49.3,10.097,2.3289999999999997,109.0
126.3,297.2,2756.0,47.1,999.0,254.2,86.4,115.3,49.4,10.009,2.2750000000000004,109.5
126.4,297.3,2756.0,42.8,999.0,253.5,85.2,113.5,48.7,10.169,2.011000000000001,109.0
126.5,297.3,2755.0,42.3,999.0,253.0,85.1,112.5,47.5,10.176,1.9589999999999996,108.0
126.5,297.3,2755.0,38.3,999.0,252.7,85.1,111.7,46.4,10.204,1.748000000000001,107.3
126.6,297.3,2754.0,35.5,999.0,252.4,85.6,110.7,45.4,10.191,1.6640000000000015,106.6
126.6,297.3,2755.0,33.8,1005.0,250.8,85.2,107.6,45.2,10.257,1.7439999999999998,105.5
126.6,297.3,2755.0,31.5,1005.0,250.8,85.1,107.1,44.7,10.265,1.681000000000001,104.6
126.6,297.3,2756.0,30.1,1005.0,250.6,85.5,107.3,44.4,10.257,1.6989999999999998,104.6
126.5,297.2,2754.0,27.4,1008.0,249.9,85.6,105.7,44.1,10.298,1.6300000000000008,103.8
126.4,297.2,2754.0,26.2,1011.0,249.6,85.6,103.9,44.4,10.313,1.6690000000000005,103.5
126.4,297.3,2753.0,25.4,1014.0,248.9,85.5,102.2,43.6,10.371,1.6460000000000008,102.4
126.5,297.2,2752.0,25.0,1020.0,247.5,85.9,99.0,43.2,10.407,1.5869999999999997,101.2
126.5,297.2,2773.0,24.6,1021.0,248.7,86.1,100.7,43.9,10.47,1.593,102.3
126.5,297.1,2752.0,23.4,1021.0,247.6,85.7,98.6,44.1,10.409,1.6669999999999998,101.0
126.6,297.1,2752.0,23.3,1021.0,247.4,85.8,98.3,43.9,10.414,1.6809999999999992,101.3
127.1,297.1,2752.0,23.2,1021.0,246.8,85.8,98.2,44.6,10.408,1.6809999999999992,101.4
127.7,297.1,2750.0,22.6,1021.0,247.0,85.8,98.0,44.9,10.4,1.6739999999999995,101.6
128.2,297.0,2751.0,21.3,1021.0,246.8,85.6,97.4,45.1,10.392,1.6630000000000003,101.8
128.7,297.0,2750.0,20.7,1024.0,246.0,85.7,96.0,44.4,10.408,1.657,100.7
129.2,296.9,2748.0,21.0,1025.0,245.4,85.8,94.9,45.2,10.402,1.7009999999999987,100.9
133.9,296.7,2740.0,22.1,1015.0,247.8,85.4,100.4,45.0,10.293,1.6389999999999993,102.3
131.6,296.6,2745.0,22.9,1021.0,246.9,85.7,98.4,44.9,10.349,1.636000000000001,101.8
131.7,296.5,2613.0,22.5,966.0,247.1,85.4,99.5,45.3,9.888,1.5779999999999994,101.6
131.9,296.5,2744.0,21.8,1021.0,248.6,85.5,100.4,45.5,10.339,1.6710000000000012,102.6
130.4,296.5,2744.0,21.9,1021.0,248.6,85.4,100.3,45.5,10.34,1.6639999999999997,103.0
129.5,296.5,2745.0,17.0,1023.0,247.9,85.3,98.5,44.0,10.403,1.6349999999999998,101.5
129.3,296.6,2746.0,11.7,1029.0,246.8,85.7,95.4,42.4,10.449,1.5890000000000004,99.4
129.1,296.6,2745.0,8.4,1031.0,246.4,85.9,93.9,42.9,10.453,1.5999999999999996,99.2
129.8,296.7,2743.0,5.6,1030.0,246.2,85.8,93.8,42.9,10.452,1.600999999999999,98.9
137.8,296.0,2757.0,0.1,989.0,254.8,85.5,115.0,38.2,9.887,1.3710000000000004,103.6
133.2,297.0,2758.0,1.5,1006.0,253.6,85.7,110.4,39.3,10.259,1.4239999999999995,103.0
